mother
ordered
sail
fabrics
materials
father
sire
fuss
beget
get
engender
generate
arranged
placed
set
laid
orderly
logical
organized
successive
consecutive
serial
voyage
cruise
navigate
sweep
canvass
canvas
sheet
sailboat
sailor
jib
cloth
textile
material
framework
garments
textiles
yarns
fibers
furnishings
cloths
stuff
substantial
fabric
relevant
bodily
worldly
matter
corporeal
tangible
forefather
padre
founder
progenitor
nobleman
ado
bother
hassle
flap
fret
stir
tiff
squabble
spat
bickering
spawn
produce
procreate
go
come
bring
find
receive
make
obtain
take
catch
breed
arouse
give
yield
render
return
staged
artificial
unreal
planned
orchestrated
situated
located
settled
put
affixed
attached
erected
dictated
lay
ready
determined
primed
kicked
knocked
thrown
chucked
outlined
buried
peaceful
tidy
systematic
lawful
coherent
consistent
regulated
sensible
rational
reasonable
legitimate
valid
discursive
lucid
formed
designed
reorganized
incorporated
methodical
union
configured
sequential
sequent
straight
succession
previous
subsequent
past
uninterrupted
continuous
succeeding
sequentially
back-to-back
series
asynchronous
serialized
journey
expedition
trek
sailing
trip
flight
travel
sightseeing
trips
ship
boat
ride
stopover
pilot
steer
navigation
browse
orient
navigational
handle
accessing
slam
tangle
broom
swing
brush
span
cross
expanse
traverse
poll
solicit
gather
survey
collect
soliciting
painting
paintings
mat
paint
toile
shroud
rag
mainsheet
tack
tabloid
plane
yacht
vessel
yachting
junk
headscarf
crewman
boater
leghorn
skimmer
bluejacket
panama
seaman
jibe
gybe
resist
baulk
balk
genoa
halyards
furling
linen
tablecloth
garment
blanket
robe
yarn
apparel
fibres
clothing
tariff
model
framing
frame
principles
template
mechanism
blueprint
parameters
dress
garb
clothe
raiment
tog
clothes
tale
thread
narrative
story
narration
recital
tales
fabrications
threads
fibre
character
strands
flax
trappings
furniture
decor
accessories
fittings
cabinets
fixtures
household
towels
robes
dresses
hooey
whatchamacallit
poppycock
shove
jam
cram
lug
clobber
sundries
significant
considerable
substantive
strong
solid
real
essential
satisfying
hearty
tapestry
weft
woven
pertinent
germane
applicable
related
crucial
carnal
physical
somatic
corporal
physiological
kinesthetic
body
godhead
materialistic
mundane
temporal
blase
sophisticated
profane
mercenary
economic
terrestrial
issue
topic
thing
subject
affair
substance
weigh
count
question
incarnate
embodied
reincarnate
corporate
bodied
perceptible
palpable
concrete
realizable
touchable
obvious
tactile
