id,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,key,duration_ms,peak,chart_time
11KJSRSgaDxqydKYiD2Jew,0.804,0.648,0.0573,0.0000349,0.102,-7.805,0.117,0.392,117.983,4,7,263373,38,18
6F609ICg9Spjrw1epsAnpa,0.607,0.476,0.0773,0,0.113,-11.076,0.249,0.347,122.976,5,10,245227,41,25
3kxfsdsCpFgN412fpnW85Y,0.743,0.359,0.199,0.00611,0.137,-10.401,0.0794,0.587,160.083,4,1,326933,9,44
6mapJIPnQ23RTAevUoE0DL,0.678,0.317,0.215,0.0000431,0.101,-9.427,0.0583,0.16,140.009,4,8,208120,23,44
1Tt4sE4pXi57mTD1GCzsqm,0.688,0.325,0.107,0,0.0837,-8.083,0.251,0.275,110.888,4,5,191600,45,24
6DNtNfH8hXkqOX1sjqmI7p,0.608,0.798,0.0736,0,0.156,-5.092,0.0432,0.501,92.943,4,6,185352,39,17
20dP2DaMHIAmwWAbp7peSr,0.711,0.739,0.114,0,0.226,-3.804,0.129,0.43,136.919,4,7,252256,44,44
37F0uwRSrdzkBiuj0D5UHI,0.71,0.495,0.156,0,0.164,-7.369,0.22,0.396,160.091,4,8,218880,53,30
5knuzwU65gJK7IF5yJsuaW,0.72,0.763,0.406,0,0.18,-4.068,0.0523,0.742,101.965,4,9,251088,32,27
78sr3ogs4UzITcCNbXM9cM,0.618,0.727,0.0312,0,0.196,-7.224,0.208,0.401,164.992,4,3,180520,55,13
4so0Wek9Ig1p6CRCHuINwW,0.261,0.143,0.675,0.272,0.349,-16.363,0.0364,0.236,91.387,4,9,177480,56,1
65Q2mv3UlVi9eO70OpsmSe,0.674,0.37,0.616,0,0.0781,-12.937,0.0309,0.862,140.352,4,0,135533,57,1
08WPvDEsHvTFuB9w8tC2OS,0.781,0.57,0.273,0,0.196,-5.874,0.188,0.858,107.059,4,11,193181,58,1
0QsvXIfqM0zZoerQfsI9lm,0.542,0.859,0.16,0.00466,0.137,-5.651,0.197,0.403,159.797,4,11,208053,43,33
1lItf5ZXJc1by9SbPeljFd,0.807,0.887,0.00381,0,0.391,-3.892,0.275,0.78,160.517,4,1,144244,60,7
5OOkp4U9P9oL23maHFHL1h,0.576,0.766,0.028,0.00000168,0.366,-4.943,0.449,0.236,144.833,4,10,246761,54,28
4dASQiO1Eoo3RJvt74FtXB,0.502,0.786,0.255,0,0.65,-4.378,0.317,0.739,169.021,4,9,243491,61,23
7EiZI6JVHllARrX9PUvAdX,0.722,0.331,0.337,0.283,0.146,-7.789,0.0725,0.102,143.974,4,8,313547,59,37
5humEOJehpAwMJEJmb0JJ2,0.31,0.095,0.904,0.0000343,0.128,-17.828,0.0366,0.188,72.76,4,1,190973,64,1
62vpWI1CHwFy7tMIcSStl8,0.696,0.521,0.302,0,0.0565,-8.465,0.332,0.458,100,4,10,292987,65,44
3pjUyVbFmM96tYhSaKJwTt,0.58,0.519,0.642,0.00116,0.0936,-10.653,0.251,0.242,107.401,4,11,331480,66,5
2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,0.00835,0,0.113,-5.355,0.0393,0.566,74.989,4,6,214507,65,27
1CnPYaKxTVb4LWOtiGOm0m,0.609,0.57,0.0556,0,0.0915,-4.239,0.104,0.531,90.195,4,0,217603,18,20
1Bqxj0aH5KewYHKUg1IdrF,0.586,0.525,0.0705,0,0.0729,-8.968,0.498,0.491,126.51,4,0,222467,39,15
5hslUAKq9I9CG2bAulFkHN,0.24,0.598,0.766,0,0.117,-8.435,0.037,0.776,202.082,3,7,151933,70,1
0BU7nIcCZxYSE0hYcc5oZz,0.665,0.706,0.0237,0,0.112,-6.859,0.0958,0.632,147.067,4,8,196336,64,27
4Hf7WnR761jpxPr5D46Bcd,0.624,0.803,0.123,0,0.114,-4.105,0.246,0.821,166.018,4,10,187973,47,16
3QiAAp20rPC3dcAtKtMaqQ,0.465,0.27,0.902,0.00104,0.145,-16.661,0.0425,0.58,94.519,4,4,129173,73,1
2LBqCSwhJGcFQeTHMVGwy3,0.599,0.511,0.0975,0,0.147,-7.136,0.0615,0.502,133.496,4,1,260253,74,14
0B8QzDH7YWih85V5SEMnyJ,0.795,0.568,0.0541,0,0.108,-7.817,0.142,0.478,136.173,4,5,198944,73,44
2aksifNn5ph8igDOkPBA02,0.506,0.641,0.0848,0.00000809,0.073,-4.815,0.0456,0.393,171.957,3,4,224000,39,32
27GmP9AWRs744SzKcpJsTZ,0.853,0.547,0.0565,0,0.341,-7.535,0.194,0.676,142.065,4,1,205879,73,18
4b4KcovePX8Ke2cLIQTLM0,0.544,0.809,0.0038,0,0.323,-5.098,0.0363,0.448,145.017,4,8,197640,78,1
7vRriwrloYVaoAe3a9wJHe,0.492,0.275,0.687,0,0.101,-13.4,0.3,0.18,92.6,4,6,251034,77,13
4uhvMW7ly7tJil31YYscAN,0.705,0.609,0.694,0,0.234,-5.728,0.0729,0.718,140.058,4,3,199993,76,25
40yJGQyEaBbIkXpwMFkXip,0.762,0.476,0.366,0,0.103,-12.686,0.114,0.375,130.007,4,0,243270,81,16
5uQOauh47VFt3B2kV9kRXw,0.812,0.621,0.244,0,0.099,-8.3,0.0515,0.847,77.998,4,5,128157,82,15
2BrzlUj1u1CtvaJDGIKpsP,0.588,0.471,0.592,0.00146,0.0733,-7.287,0.0577,0.209,152.881,4,0,242081,55,13
2pnPe4pJtq7689i5ydzvJJ,0.688,0.711,0.788,0.0000264,0.0683,-10.453,0.0832,0.935,152.277,4,7,165733,84,1
3pXF1nA74528Edde4of9CC,0.765,0.356,0.222,0,0.0963,-5.556,0.196,0.19,97.001,4,11,198293,82,43
6eT7xZZlB2mwyzJ2sUKG6w,0.674,0.568,0.216,0,0.0863,-7.678,0.0349,0.321,130.081,4,7,256533,66,44
2xbI8Vmyv3TkpTdywpPyNw,0.638,0.6,0.114,0,0.187,-5.84,0.0438,0.0399,101.981,4,1,245604,47,33
3E2Zh20GDCR9B1EYjfXWyv,0.673,0.637,0.137,0,0.184,-4.518,0.0429,0.678,123.98,4,5,201160,30,31
43PuMrRfbyyuz4QpZ3oAwN,0.53,0.433,0.108,0,0.135,-10.598,0.185,0.274,160.14,4,6,194613,84,43
7inXu0Eaeg02VsM8kHNvzM,0.603,0.321,0.881,0,0.34,-11.489,0.0599,0.844,143.104,4,2,155600,90,1
0hNduWmlWmEmuwEFcYvRu1,0.783,0.467,0.729,0.809,0.109,-9.474,0.0503,0.236,90.838,4,6,237793,63,14
0HtOJj7Kl74s1Ngf3MWeif,0.435,0.202,0.776,0.0976,0.245,-15.097,0.0702,0.0429,139.574,4,2,209080,92,4
7aV2mflaASUmGhCErm7kBO,0.707,0.883,0.0707,0,0.23,-4.281,0.0602,0.541,106.031,4,0,167038,81,3
6HEIBHUirx1J0JkUD24szt,0.8,0.297,0.66,0.000111,0.105,-13.1,0.407,0.213,140.051,4,0,139674,58,20
2wDjpPW3HZdA9quPPmZAMu,0.42,0.636,0.494,0,0.122,-7.216,0.22,0.784,156.104,5,10,215670,79,6
